t,output
0.522,0.2730001
0.523,0.27415657
0.524,0.27531487
0.525,0.27647495
0.526,0.27763686
0.527,0.27880055
0.528,0.279966
0.529,0.28113323
0.53,0.28230223
0.531,0.28347299
0.532,0.2846455
0.533,0.28581974
0.534,0.2869957
0.535,0.28817344
0.536,0.28935286
0.537,0.29053402
0.538,0.29171687
0.539,0.29290143
0.54,0.29408768
0.541,0.29527563
0.542,0.29646525
0.543,0.29765654
0.544,0.2988495
0.545,0.3000441
0.546,0.30124035
0.547,0.30243826
0.548,0.3036378
0.549,0.30483896
0.55,0.30604175
0.551,0.30724615
0.552,0.30845216
0.553,0.30965975
0.554,0.31086895
0.555,0.31207973
0.556,0.3132921
0.557,0.314506
0.558,0.31572148
0.559,0.31693852
0.56,0.3181571
0.561,0.3193772
0.562,0.32059884
0.563,0.32182202
0.564,0.32304668
0.565,0.32427287
0.566,0.32550055
0.567,0.32672974
0.568,0.3279604
0.569,0.32919255
0.57,0.33042616
0.571,0.33166122
0.572,0.33289775
0.573,0.33413574
0.574,0.33537516
0.575,0.336616
0.576,0.3378583
0.577,0.33910197
0.578,0.34034708
0.579,0.3415936
0.58,0.3428415
0.581,0.3440908
0.582,0.34534144
0.583,0.34659347
0.584,0.34784687
0.585,0.34910163
0.586,0.35035774
0.587,0.3516152
0.588,0.35287398
0.589,0.35413408
0.59,0.3553955
0.591,0.35665822
0.592,0.35792226
0.593,0.35918757
0.594,0.36045417
0.595,0.36172205
0.596,0.3629912
0.597,0.36426163
0.598,0.3655333
0.599,0.3668062
0.6,0.36808038
0.601,0.36935577
0.602,0.37063238
0.603,0.3719102
0.604,0.37318927
0.605,0.37446952
0.606,0.37575096
0.607,0.3770336
0.608,0.3783174
0.609,0.37960234
0.61,0.38088846
0.611,0.38217574
0.612,0.3834642
0.613,0.38475376
0.614,0.38604447
0.615,0.38733628
0.616,0.38862923
0.617,0.38992327
0.618,0.39121842
0.619,0.39251465
0.62,0.39381194
0.621,0.39511034
0.622,0.39640978
0.623,0.3977103
0.624,0.39901185
0.625,0.40031445
0.626,0.4016181
0.627,0.40292275
0.628,0.40422842
0.629,0.4055351
0.63,0.4068428
0.631,0.40815148
0.632,0.40946117
0.633,0.41077182
0.634,0.41208345
0.635,0.41339603
0.636,0.41470957
0.637,0.41602406
0.638,0.4173395
0.639,0.41865587
0.64,0.41997316
0.641,0.42129138
0.642,0.4226105
0.643,0.4239305
0.644,0.4252514
0.645,0.4265732
0.646,0.42789584
0.647,0.42921937
0.648,0.43054375
0.649,0.431869
0.65,0.43319508
0.651,0.434522
0.652,0.43584976
0.653,0.4371783
0.654,0.43850768
0.655,0.43983784
0.656,0.4411688
0.657,0.4425006
0.658,0.44383314
0.659,0.44516647
0.66,0.44650054
0.661,0.44783536
0.662,0.44917095
0.663,0.45050725
0.664,0.4518443
0.665,0.45318207
0.666,0.45452055
0.667,0.45585975
0.668,0.45719963
0.669,0.4585402
0.67,0.45988145
0.671,0.4612234
0.672,0.462566
0.673,0.46390924
0.674,0.46525314
0.675,0.4665977
0.676,0.4679429
0.677,0.4692887
0.678,0.47063515
0.679,0.47198218
0.68,0.47332984
0.681,0.4746781
0.682,0.47602692
0.683,0.47737634
0.684,0.47872633
0.685,0.48007688
0.686,0.48142797
0.687,0.4827796
